Categories,Competency,Proficiency Level,Course Title ,URL,Course with Hyperlink,Course Provider,Learning Outcomes,Training Period, Cost ,Training Mode,Start Date,End Date,Prioritisation
Finance Functional Competencies,C01:  Internal Audit Management & Delivery,(Level 1) Foundation,Auditing Grant Administration,,Auditing Grant Administration,AGD/NP,,,,TBA,,,0
Finance Functional Competencies,C01:  Internal Audit Management & Delivery,(Level 1) Foundation,Auditing Procurement,,Auditing Procurement ,AGD/NP,,,,TBA,,,0
Finance Functional Competencies,C01:  Internal Audit Management & Delivery,(Level 1) Foundation,Dealing with Public Sector Internal Controls,https://www.learn.gov.sg/Learning/BrowseDetails?ProgCode=CRICF10,Dealing with Public Sector Internal Controls,Civil Service College,"√ Internal controls concepts
√ Identify control risk areas
√ Manage exceptions
",11HRS,$460.00,Classroom,5/9/2025,5/9/2025,3
Finance Functional Competencies,C01:  Internal Audit Management & Delivery,(Level 1) Foundation,Fundamentals of Public Finance Management Module 1 - Ministry and Statutory Board Finance,https://www.learn.gov.sg/Learning/BrowseDetails?ProgCode=CRFPFM1,Fundamentals of Public Finance Management Module 1 - Ministry and Statutory Board Finance,Civil Service College,"√ Public finance policies
√ Government accounting
√ Central financial systems",14.25HRS,$925.00,Classroom,28/8/2025,29/8/2025,2
Finance Functional Competencies,C01:  Internal Audit Management & Delivery,(Level 1) Foundation,Fundamentals of Public Finance Management Module 1 - Ministry and Statutory Board Finance,,Managing Conflict of Interest and Related-Party Transactions,Civil Service College,"√ Evaluate the risk and impact of conflict of interest scenarios and related party transactions
√ Disclosure requirements",8.00 hours,,Virtual Classroom,NIL,,0
Finance Functional Competencies,C01:  Internal Audit Management & Delivery,(Level 1) Foundation,[E-Learning] Raising the Value of Internal Auditing with Data Analytics,https://eservices.isca.org.sg/CourseDetailClone?courseMasterId=a0g0K000004pcMbQAI&_ga=2.159155002.1626425500.1670914557-1149870743.1670913560,[E-Learning] Raising the Value of Internal Auditing with Data Analytics,ISCA,"√ Implementation of data analytics in IA processes
",2hr,123.6,E-Learning,OTOT,OTOT,4
Finance Functional Competencies,C01:  Internal Audit Management & Delivery,(Level 1) Foundation,Audit Report Writing Workshop,https://iia.org.sg/ccms.r?pageid=6046&tenid=IIAS&NavCMD=NextPage%7C2&ROXY=0x0000000000254c8b&DISPMODE=Calendar,Audit Report Writing Workshop,The Institute of Internal Auditors,"√ Structure, content, and communication style in audit report writing",2 days,"$1,040.00",Classroom,TBA,,0
Finance Functional Competencies,C01:  Internal Audit Management & Delivery,(Level 1) Foundation,"Financial & Operational Audit: Human Resources, Payroll, Treasury & Project Management",https://iia.org.sg/ccms.r?pageid=6046&tenid=IIAS&NavCMD=NextPage|2&ROXY=0x0000000000254d80&DISPMODE=Calendar,"Financial & Operational Audit: Human Resources, Payroll, Treasury & Project Management ",The Institute of Internal Auditors,"√ Perform financial and operational audit
√ Apply COSO Framework and integrated audit concepts",2 days,"$1,040.00",Classroom,TBA,,0
Finance Functional Competencies,C01:  Internal Audit Management & Delivery,(Level 1) Foundation,Managing Difficult Auditees,,Managing Difficult Auditees,The Institute of Internal Auditors,√  Handle common challenging situations to deal effectively with difficult auditees,2 days (16hrs),"$1,040.00",Classroom,TBA,,0
Finance Functional Competencies,C01:  Internal Audit Management & Delivery,(Level 1) Foundation,Tools for New Auditors,https://iia.org.sg/ccms.r?pageid=6046&tenid=IIAS&NavCMD=NextPage|2&ROXY=0x000000000025a486&DISPMODE=Calendar,Tools for New Auditors,The Institute of Internal Auditors,"√ Life cycle of audit engagement
√ Planning and examining the internal control environment
√ Audit governance
Obtaining audit evidence
",3 days (24hrs),"$1,440.00",Classroom,8/9/2025,10/9/2025,1
